Situação,Cod. Registro,Instituto,Cargo,Abrangência,Turno,Cenário,Candidato,Partido,Pontuação (%),Margem de Erro,Divulgação,Fonte de Coleta
F,BR-00878/2026,Paraná Pesquisas,Presidente,Paraná,1,Cenário 1,Ratinho Junior,,"40,00%","2,80%",23/01/2026,
F,BR-00878/2026,Paraná Pesquisas,Presidente,Paraná,1,Cenário 1,Flávio Bolsonaro,,"24,40%","2,80%",23/01/2026,
F,BR-00878/2026,Paraná Pesquisas,Presidente,Paraná,1,Cenário 1,Lula,,"21,50%","2,80%",23/01/2026,
F,BR-00878/2026,Paraná Pesquisas,Presidente,Paraná,1,Cenário 2,Tarcísio de Freitas,,"29,50%","2,80%",23/01/2026,
F,PR-08451/2026,Paraná Pesquisas,Governador,Paraná,1,Cenário 1,Sergio Moro,,"41,60%","2,80%",23/01/2026,
F,PR-08451/2026,Paraná Pesquisas,Governador,Paraná,1,Cenário 1,Alvaro Dias,,"19,70%","2,80%",23/01/2026,
F,PR-08451/2026,Paraná Pesquisas,Governador,Paraná,1,Cenário 1,Requião Filho,,"19,50%","2,80%",23/01/2026,
F,PR-08451/2026,Paraná Pesquisas,Senador,Paraná,1,Cenário 1,Alvaro Dias,,"47,50%","2,80%",23/01/2026,
F,PR-08451/2026,Paraná Pesquisas,Senador,Paraná,1,Cenário 1,Alexandre Curi,,"36,20%","2,80%",23/01/2026,
F,PR-08451/2026,Paraná Pesquisas,Senador,Paraná,1,Cenário 1,Cristina Graeml,,"26,00%","2,80%",23/01/2026,
F,PA-04089/2026,RealTime BigData,Governador,Pará,1,Cenário 1,Hana Ghassan,MDB,26%,"2,00%",05/02/2026,
F,PA-04089/2026,RealTime BigData,Governador,Pará,1,Cenário 1,Dr. Daniel Santos,Pode,22%,"2,00%",05/02/2026,
F,PA-04089/2026,RealTime BigData,Governador,Pará,1,Cenário 1,Paulo Rocha,PT,15%,"2,00%",05/02/2026,
F,PA-04089/2026,RealTime BigData,Senador,Pará,1,Cenário 1,Helder Barbalho,MDB,41%,"2,00%",05/02/2026,
F,PA-04089/2026,RealTime BigData,Senador,Pará,1,Cenário 1,Simão Jatene,,14%,"2,00%",05/02/2026,
F,BR-06815/2026,RealTime BigData,Presidente,Pará,1,Cenário 1,Lula,PT,43%,"2,00%",05/02/2026,
F,BR-06815/2026,RealTime BigData,Presidente,Pará,1,Cenário 1,Flávio Bolsonaro,PL,25%,"2,00%",05/02/2026,
F,PE-09595/2026,Datafolha,Governador,Pernambuco,1,Cenário 1,João Campos,PSB,47%,"3,0 p,p,",08/02/2026,
F,PE-09595/2026,Datafolha,Governador,Pernambuco,1,Cenário 1,Raquel Lyra,PSD,35%,"3,0 p,p,",08/02/2026,
F,PE-09595/2026,Datafolha,Governador,Pernambuco,1,Cenário 1,Ivan Moraes,PSOL,1%,"3,0 p,p,",08/02/2026,
F,PE-09595/2026,Datafolha,Governador,Pernambuco,2,Cenário 1,João Campos,PSB,53%,"3,0 p,p,",08/02/2026,
F,PE-09595/2026,Datafolha,Governador,Pernambuco,2,Cenário 1,Raquel Lyra,PSD,40%,"3,0 p,p,",08/02/2026,
F,AP-07630/2026,RealTime BigData,Governador,Amapá,1,Cenário 1,Dr. Furlan,MDB,66%,2,10/02/2026,
F,AP-07630/2026,RealTime BigData,Governador,Amapá,1,Cenário 1,Clécio Luís,União Brasil,29%,2,10/02/2026,
F,AP-07630/2026,RealTime BigData,Senador,Amapá,1,Cenário 1,Rayssa Furlan,Pode,33%,2,10/02/2026,
F,AP-07630/2026,RealTime BigData,Senador,Amapá,1,Cenário 1,Randolfe Rodrigues,PT,20%,2,10/02/2026,
F,BR-00789/2026,RealTime BigData,Presidente,Amapá,1,Cenário 1,Lula,PT,34%,2,10/02/2026,
F,BR-00789/2026,RealTime BigData,Presidente,Amapá,1,Cenário 1,Flávio Bolsonaro,PL,22%,2,10/02/2026,
F,PE-09944/2026,RealTime BigData,Governador,Pernambuco,1,Cenário 1,João Campos,PSB,51%,2,11/02/2026,
F,PE-09944/2026,RealTime BigData,Governador,Pernambuco,1,Cenário 1,Raquel Lyra,PSD,31%,2,11/02/2026,
F,PE-09944/2026,RealTime BigData,Governador,Pernambuco,1,Cenário 1,Ivan Moraes,PSOL,3%,2,11/02/2026,
,CE-08478/2026,Paraná Pesquisas,Governador,Ceará,1,Cenário 1,Ciro Gomes,PSDB,"42,5","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Governador,Ceará,1,Cenário 1,Elmano de Freitas,PT,"35,1","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Governador,Ceará,1,Cenário 1,Capitão Wagner,União Brasil,"12,3","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Governador,Ceará,1,Cenário 1,Branco/Nulo/Nenhum,,"6,2","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Governador,Ceará,1,Cenário 1,Indeciso/não sabe,,"3,9","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Senador,Ceará,1,Cenário 1,Cid Gomes,PSB,"51,20","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Senador,Ceará,1,Cenário 1,Capitão Wagner,União Brasil,"39,80","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Senador,Ceará,1,Cenário 1,Eunício Oliveira,MDB,"20,4","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Senador,Ceará,1,Cenário 1,Branco/Nulo/Nenhum,,"52,10","2,6",03/03/2026,FALTA INFORMAÇÃO
,CE-08478/2026,Paraná Pesquisas,Senador,Ceará,1,Cenário 1,Indeciso/não sabe,,"36,50","2,6",03/03/2026,FALTA INFORMAÇÃO
F,BR-00094/2026,Paraná Pesquisas,Presidente,Minas Gerais,1,Cenário 1,Lula,PT,"36,70%",#ERROR!,09/03/2026,
F,BR-00094/2026,Paraná Pesquisas,Presidente,Minas Gerais,1,Cenário 1,Flávio Bolsonaro,PL,"32,10%",#ERROR!,09/03/2026,
F,BR-00094/2026,Paraná Pesquisas,Presidente,Minas Gerais,1,Cenário 1,Romeu Zema,NOVO,"14,40%",#ERROR!,09/03/2026,
F,MG-03797/2026,Paraná Pesquisas,Governador,Minas Gerais,1,Cenário 1,Cleitinho Azevedo,Republicanos,"45,60%",#ERROR!,09/03/2026,
F,MG-03797/2026,Paraná Pesquisas,Governador,Minas Gerais,1,Cenário 1,Rodrigo Pacheco,PSD,"18,40%",#ERROR!,09/03/2026,
F,MG-03797/2026,Paraná Pesquisas,Senador,Minas Gerais,1,Cenário 1,Carlos Viana,PODE,"32,20%",#ERROR!,09/03/2026,
F,MG-03797/2026,Paraná Pesquisas,Senador,Minas Gerais,1,Cenário 1,Aécio Neves,PSDB,"26,10%",#ERROR!,09/03/2026,
F,BR-01902/26,RealTime BigData,Presidente,São Paulo,1,Cenário 1,Flávio Bolsonaro,PL,38%,2,09/03/2026,
F,BR-01902/26,RealTime BigData,Presidente,São Paulo,1,Cenário 1,Lula,PT,34%,2,09/03/2026,
F,BR-01902/26,RealTime BigData,Presidente,São Paulo,1,Cenário 1,Ratinho Jr.,PSD,9%,2,09/03/2026,
F,BR-01902/26,RealTime BigData,Presidente,São Paulo,1,Cenário 1,Romeu Zema,Novo,4%,2,09/03/2026,
F,BR-01902/26,RealTime BigData,Presidente,São Paulo,1,Cenário 1,Aldo Rebelo,DC,2%,2,09/03/2026,
F,BR-01902/26,RealTime BigData,Presidente,São Paulo,1,Cenário 1,Renan Santos,Missão,2%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Governador,São Paulo,1,Cenário 1,Tarcísio de Freitas,Republicanos,47%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Governador,São Paulo,1,Cenário 1,Fernando Haddad,PT,31%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Governador,São Paulo,1,Cenário 1,Kim Kataguiri,Missão,8%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Governador,São Paulo,1,Cenário 1,Paulo Serra,PSDB,7%,2,09/03/2026,
